,model,deduplicated,model_size,embed_dim,kdims,fraction_dims,isoscore
0,pythia-14m,0,14m,128,104.42618943877407,0.8158296049904225,0.8143794443997958
1,pythia-70m,0,70m,512,352.2326635030771,0.6879544209044475,0.6873437641938887
2,pythia-160m,0,160m,768,566.9356097149029,0.7381974084829465,0.7378560752475918
3,pythia-410m,0,410m,1024,675.8387477838195,0.6599987771326362,0.6596664201210357
4,pythia-1b,0,1b,2048,1213.4741712351342,0.5925166851734054,0.5923176215120343
5,pythia-1.4b,0,1.4b,2048,1067.9249180870531,0.5214477139096939,0.5212139316497573
6,pythia-70m-deduped,1,70m,512,341.65404388018595,0.6672930544534882,0.6666419645404813
7,pythia-160m-deduped,1,160m,768,564.7774503262352,0.7353873051122854,0.735042308117647
8,pythia-410m-deduped,1,410m,1024,671.7066123175267,0.6559634885913347,0.6556271870161552
9,pythia-1b-deduped,1,1b,2048,1214.6453620297045,0.5930885556785667,0.5928897713872519
10,pythia-1.4b-deduped,1,1.4b,2048,1055.8399894513054,0.5155468698492702,0.5153102049102616
