,model,language_exposure,kdims,isoscore,checkpoint
0,B-GPT_en_nl_simultaneous,simultaneous,756.6961695756008,0.9852622810633649,0
1,B-GPT_en_nl_simultaneous,simultaneous,146.2495172866371,0.18937355578440299,10000
2,B-GPT_en_nl_simultaneous,simultaneous,136.93067432207394,0.1772238257132646,20000
3,B-GPT_en_nl_simultaneous,simultaneous,141.0996843045011,0.18265930157040558,30000
4,B-GPT_en_nl_simultaneous,simultaneous,144.75151689391384,0.18742049138711062,40000
5,B-GPT_en_nl_simultaneous,simultaneous,147.724159742671,0.19129616654846285,50000
6,B-GPT_en_nl_simultaneous,simultaneous,150.52843764347972,0.19495233069554072,64000
7,B-GPT_en_nl_simultaneous,simultaneous,150.69608061443904,0.19517090040995963,64010
8,B-GPT_en_nl_simultaneous,simultaneous,150.91129148357882,0.1954514882445617,64020
9,B-GPT_en_nl_simultaneous,simultaneous,151.10302010266847,0.19570146036853775,64030
10,B-GPT_en_nl_simultaneous,simultaneous,151.22422805325934,0.19585948898730032,64040
11,B-GPT_en_nl_simultaneous,simultaneous,151.30388638924083,0.19596334600944043,64050
12,B-GPT_en_nl_simultaneous,simultaneous,151.36079532692833,0.19603754279912428,64060
13,B-GPT_en_nl_simultaneous,simultaneous,151.4153361171307,0.1961086520431952,64070
14,B-GPT_en_nl_simultaneous,simultaneous,151.46530573335747,0.1961738014776499,64080
15,B-GPT_en_nl_simultaneous,simultaneous,151.51208839735358,0.19623479582445055,64090
16,B-GPT_en_nl_simultaneous,simultaneous,151.5551795098675,0.19629097719669816,64100
17,B-GPT_en_nl_simultaneous,simultaneous,151.59485918676896,0.19634271080413163,64110
18,B-GPT_en_nl_simultaneous,simultaneous,151.62832041370467,0.1963863369148692,64120
19,B-GPT_en_nl_simultaneous,simultaneous,151.66243480310587,0.1964308146063962,64130
20,B-GPT_en_nl_simultaneous,simultaneous,151.69686813265477,0.19647570812601664,64140
21,B-GPT_en_nl_simultaneous,simultaneous,151.7287215287063,0.19651723797745282,64150
22,B-GPT_en_nl_simultaneous,simultaneous,151.75981893535467,0.19655778218429554,64160
23,B-GPT_en_nl_simultaneous,simultaneous,151.79095659250035,0.19659837886897047,64170
24,B-GPT_en_nl_simultaneous,simultaneous,151.81925504908006,0.19663527385799223,64180
25,B-GPT_en_nl_simultaneous,simultaneous,151.84679707628516,0.1966711826287942,64190
26,B-GPT_en_nl_simultaneous,simultaneous,151.87581222598297,0.19670901202866098,64200
27,B-GPT_en_nl_simultaneous,simultaneous,152.13614114972745,0.19704842392402536,64300
28,B-GPT_en_nl_simultaneous,simultaneous,152.38357683598454,0.19737102586177907,64400
29,B-GPT_en_nl_simultaneous,simultaneous,152.60957598344388,0.19766567924829712,64500
30,B-GPT_en_nl_simultaneous,simultaneous,152.81721519118796,0.19793639529489956,64600
31,B-GPT_en_nl_simultaneous,simultaneous,153.02848327677606,0.1982118426033586,64700
32,B-GPT_en_nl_simultaneous,simultaneous,153.22636858389578,0.1984698416999945,64800
33,B-GPT_en_nl_simultaneous,simultaneous,153.43683881805183,0.1987442487849437,64900
34,B-GPT_en_nl_simultaneous,simultaneous,153.6301821460079,0.19899632613560353,65000
35,B-GPT_en_nl_simultaneous,simultaneous,155.46880620625217,0.20139348918676944,66000
36,B-GPT_en_nl_simultaneous,simultaneous,157.14184286770902,0.20357476253938595,67000
37,B-GPT_en_nl_simultaneous,simultaneous,158.7177935371985,0.20562945702372687,68000
38,B-GPT_en_nl_simultaneous,simultaneous,160.19794640028854,0.2075592521516148,69000
39,B-GPT_en_nl_simultaneous,simultaneous,161.60637489088654,0.20939553440793554,70000
40,B-GPT_en_nl_simultaneous,simultaneous,172.55440126380958,0.2236693627950581,80000
41,B-GPT_en_nl_simultaneous,simultaneous,179.95488765715402,0.23331797608494656,90000
42,B-GPT_en_nl_simultaneous,simultaneous,185.02853026053376,0.2399328947334208,100000
43,B-GPT_en_nl_simultaneous,simultaneous,188.31620769156905,0.24421930598640032,110000
44,B-GPT_en_nl_simultaneous,simultaneous,190.06100281165803,0.24649413665144465,120000
45,B-GPT_en_nl_simultaneous,simultaneous,190.4733156386101,0.24703170226676677,128000
46,B-GPT_en_nl_sequential,sequential,756.6961695756008,0.9852622810633649,0
47,B-GPT_en_nl_sequential,sequential,114.36892405903943,0.14780824518779587,10000
48,B-GPT_en_nl_sequential,sequential,106.4574619037176,0.13749343142596818,20000
49,B-GPT_en_nl_sequential,sequential,108.744526734073,0.14047526301704433,30000
50,B-GPT_en_nl_sequential,sequential,110.38173256783143,0.14260982081855467,40000
51,B-GPT_en_nl_sequential,sequential,111.52250743942221,0.1440971413812545,50000
52,B-GPT_en_nl_sequential,sequential,112.53714642771378,0.14542000838033087,64000
53,B-GPT_en_nl_sequential,sequential,112.70031898252488,0.14563274965127102,64010
54,B-GPT_en_nl_sequential,sequential,112.92749726664663,0.14592894037372442,64020
55,B-GPT_en_nl_sequential,sequential,113.10874472119178,0.14616524735487846,64030
56,B-GPT_en_nl_sequential,sequential,113.2185799002087,0.14630844837054588,64040
57,B-GPT_en_nl_sequential,sequential,113.3057822916132,0.14642214118854394,64050
58,B-GPT_en_nl_sequential,sequential,113.38437627112506,0.14652461052297922,64060
59,B-GPT_en_nl_sequential,sequential,113.46418159263673,0.1466286591820557,64070
60,B-GPT_en_nl_sequential,sequential,113.53780080775545,0.14672464251337086,64080
61,B-GPT_en_nl_sequential,sequential,113.59832435909875,0.14680355196753422,64090
62,B-GPT_en_nl_sequential,sequential,113.65260156585852,0.14687431755653002,64100
63,B-GPT_en_nl_sequential,sequential,113.70424492310161,0.1469416491826618,64110
64,B-GPT_en_nl_sequential,sequential,113.74565538246945,0.14699563935132914,64120
65,B-GPT_en_nl_sequential,sequential,113.7806748806319,0.14704129710643013,64130
66,B-GPT_en_nl_sequential,sequential,113.81295744618002,0.1470833865008866,64140
67,B-GPT_en_nl_sequential,sequential,113.84405879417879,0.14712393584638694,64150
68,B-GPT_en_nl_sequential,sequential,113.87474658686357,0.14716394600634103,64160
69,B-GPT_en_nl_sequential,sequential,113.9041411505,0.14720227007887876,64170
70,B-GPT_en_nl_sequential,sequential,113.93336766984788,0.14724037505847182,64180
71,B-GPT_en_nl_sequential,sequential,113.96227703112088,0.147278066533404,64190
72,B-GPT_en_nl_sequential,sequential,113.9905175652255,0.14731488600420534,64200
73,B-GPT_en_nl_sequential,sequential,114.23332158450465,0.14763144926271793,64300
74,B-GPT_en_nl_sequential,sequential,114.44879682359307,0.1479123817778267,64400
75,B-GPT_en_nl_sequential,sequential,114.64689332273961,0.14817065622260706,64500
76,B-GPT_en_nl_sequential,sequential,114.833702576807,0.1484142145721082,64600
77,B-GPT_en_nl_sequential,sequential,115.00324950613081,0.14863526663120052,64700
78,B-GPT_en_nl_sequential,sequential,115.1660593089448,0.1488475349529919,64800
79,B-GPT_en_nl_sequential,sequential,115.32277337736308,0.1490518557723117,64900
80,B-GPT_en_nl_sequential,sequential,115.4698546476767,0.1492436175328249,65000
81,B-GPT_en_nl_sequential,sequential,116.693883077097,0.15083948249947457,66000
82,B-GPT_en_nl_sequential,sequential,117.59291409590388,0.15201162202855786,67000
83,B-GPT_en_nl_sequential,sequential,118.25829932967376,0.15287913863060465,68000
84,B-GPT_en_nl_sequential,sequential,118.76836038149723,0.15354414652085688,69000
85,B-GPT_en_nl_sequential,sequential,119.151483803381,0.1540436555454772,70000
86,B-GPT_en_nl_sequential,sequential,122.1311601339555,0.15792850082653911,80000
87,B-GPT_en_nl_sequential,sequential,124.48662662303492,0.16099951319822026,90000
88,B-GPT_en_nl_sequential,sequential,126.09987418291178,0.16310283465829437,100000
89,B-GPT_en_nl_sequential,sequential,127.05082313306913,0.16434266379800408,110000
90,B-GPT_en_nl_sequential,sequential,127.51344879845537,0.16494582633436164,120000
91,B-GPT_en_nl_sequential,sequential,127.6035130018552,0.16506325032836403,128000
92,B-GPT_en_es_simultaneous,simultaneous,756.6961695756008,0.9852622810633649,0
93,B-GPT_en_es_simultaneous,simultaneous,144.06291333165942,0.18652270317035125,10000
94,B-GPT_en_es_simultaneous,simultaneous,134.45522243523297,0.17399637866392825,20000
95,B-GPT_en_es_simultaneous,simultaneous,137.8033284242991,0.17836157552059856,30000
96,B-GPT_en_es_simultaneous,simultaneous,140.6346454418162,0.18205299275334574,40000
97,B-GPT_en_es_simultaneous,simultaneous,142.77602078424323,0.18484487716328973,50000
98,B-GPT_en_es_simultaneous,simultaneous,144.8242659005467,0.1875153401571665,64000
99,B-GPT_en_es_simultaneous,simultaneous,145.01942067251466,0.18776977923404778,64010
100,B-GPT_en_es_simultaneous,simultaneous,145.2334701275777,0.18804885283908437,64020
101,B-GPT_en_es_simultaneous,simultaneous,145.42181371671248,0.18829441162544,64030
102,B-GPT_en_es_simultaneous,simultaneous,145.55362582168416,0.18846626573883205,64040
103,B-GPT_en_es_simultaneous,simultaneous,145.64881437873115,0.18859037076757648,64050
104,B-GPT_en_es_simultaneous,simultaneous,145.7233948023725,0.18868760730426662,64060
105,B-GPT_en_es_simultaneous,simultaneous,145.78915085403264,0.18877333879274139,64070
106,B-GPT_en_es_simultaneous,simultaneous,145.84855676861207,0.18885079109336644,64080
107,B-GPT_en_es_simultaneous,simultaneous,145.90137058478874,0.1889196487415759,64090
108,B-GPT_en_es_simultaneous,simultaneous,145.9521646470375,0.1889858730730606,64100
109,B-GPT_en_es_simultaneous,simultaneous,145.9980058808113,0.18904564000105772,64110
110,B-GPT_en_es_simultaneous,simultaneous,146.04273763970363,0.1891039604168235,64120
111,B-GPT_en_es_simultaneous,simultaneous,146.08759044125674,0.1891624386457063,64130
112,B-GPT_en_es_simultaneous,simultaneous,146.13110354895613,0.18921917020724396,64140
113,B-GPT_en_es_simultaneous,simultaneous,146.175039613839,0.18927645321230638,64150
114,B-GPT_en_es_simultaneous,simultaneous,146.21784752119086,0.18933226534705458,64160
115,B-GPT_en_es_simultaneous,simultaneous,146.25869144556137,0.1893855168781765,64170
116,B-GPT_en_es_simultaneous,simultaneous,146.29686986683313,0.18943529317709665,64180
117,B-GPT_en_es_simultaneous,simultaneous,146.3347536734396,0.18948468536302424,64190
118,B-GPT_en_es_simultaneous,simultaneous,146.37222252895737,0.18953353654362107,64200
119,B-GPT_en_es_simultaneous,simultaneous,146.70728196878414,0.18997038066334307,64300
120,B-GPT_en_es_simultaneous,simultaneous,146.9916555174441,0.19034114148297795,64400
121,B-GPT_en_es_simultaneous,simultaneous,147.24953299938778,0.19067735723518617,64500
122,B-GPT_en_es_simultaneous,simultaneous,147.4820134528797,0.1909804608251365,64600
123,B-GPT_en_es_simultaneous,simultaneous,147.70124505153342,0.19126629081034344,64700
124,B-GPT_en_es_simultaneous,simultaneous,147.9016594894272,0.19152758733954003,64800
125,B-GPT_en_es_simultaneous,simultaneous,148.10028096168838,0.1917865462342743,64900
126,B-GPT_en_es_simultaneous,simultaneous,148.28264791826112,0.19202431280086193,65000
127,B-GPT_en_es_simultaneous,simultaneous,149.98670143079642,0.1942460253335025,66000
128,B-GPT_en_es_simultaneous,simultaneous,151.48210259587657,0.19619570090727065,67000
129,B-GPT_en_es_simultaneous,simultaneous,152.8549132637137,0.1979855453242682,68000
130,B-GPT_en_es_simultaneous,simultaneous,154.11595024674648,0.1996296613386525,69000
131,B-GPT_en_es_simultaneous,simultaneous,155.29180490437716,0.20116271825864038,70000
132,B-GPT_en_es_simultaneous,simultaneous,164.26052338985855,0.21285596269864215,80000
133,B-GPT_en_es_simultaneous,simultaneous,170.15585271939133,0.22054218085970187,90000
134,B-GPT_en_es_simultaneous,simultaneous,174.138244998288,0.22573434810728554,100000
135,B-GPT_en_es_simultaneous,simultaneous,176.64239447864125,0.2289992105327787,110000
136,B-GPT_en_es_simultaneous,simultaneous,177.93307166204977,0.2306819708762057,120000
137,B-GPT_en_es_simultaneous,simultaneous,178.2373265256867,0.23107865257586271,128000
138,B-GPT_en_es_sequential,sequential,756.6961695756008,0.9852622810633649,0
139,B-GPT_en_es_sequential,sequential,113.77225961985846,0.1470303254496199,10000
140,B-GPT_en_es_sequential,sequential,106.04624272411593,0.13695729168724372,20000
141,B-GPT_en_es_sequential,sequential,108.31622093379401,0.13991684606752805,30000
142,B-GPT_en_es_sequential,sequential,110.09847733613503,0.14224051803928947,40000
143,B-GPT_en_es_sequential,sequential,111.30183158824383,0.14380942840709757,50000
144,B-GPT_en_es_sequential,sequential,112.28045959248988,0.14508534497065173,64000
145,B-GPT_en_es_sequential,sequential,112.42880010510748,0.14527874850731093,64010
146,B-GPT_en_es_sequential,sequential,112.65935754028818,0.14557934490259217,64020
147,B-GPT_en_es_sequential,sequential,112.89116659398728,0.14588157313427286,64030
148,B-GPT_en_es_sequential,sequential,113.06135562682645,0.14610346235570593,64040
149,B-GPT_en_es_sequential,sequential,113.18701059355199,0.146267288909455,64050
150,B-GPT_en_es_sequential,sequential,113.29404150923756,0.14640683377997074,64060
151,B-GPT_en_es_sequential,sequential,113.39706196737848,0.14654114989227962,64070
152,B-GPT_en_es_sequential,sequential,113.49249356648137,0.14666557179463022,64080
153,B-GPT_en_es_sequential,sequential,113.57836690245989,0.1467775318154627,64090
154,B-GPT_en_es_sequential,sequential,113.65718572138063,0.14688029429123942,64100
155,B-GPT_en_es_sequential,sequential,113.73082026586242,0.14697629760868633,64110
156,B-GPT_en_es_sequential,sequential,113.79825443355134,0.14706421699289612,64120
157,B-GPT_en_es_sequential,sequential,113.86058984849387,0.147145488720331,64130
158,B-GPT_en_es_sequential,sequential,113.92061796754832,0.1472237522393068,64140
159,B-GPT_en_es_sequential,sequential,113.975088728371,0.1472947701804055,64150
160,B-GPT_en_es_sequential,sequential,114.02848619165006,0.14736438877659722,64160
161,B-GPT_en_es_sequential,sequential,114.08000453765338,0.14743155741545422,64170
162,B-GPT_en_es_sequential,sequential,114.13174407661636,0.14749901444148156,64180
163,B-GPT_en_es_sequential,sequential,114.17909716595064,0.14756075249797998,64190
164,B-GPT_en_es_sequential,sequential,114.22572531526784,0.1476215453914835,64200
165,B-GPT_en_es_sequential,sequential,114.62058205449024,0.14813635209190384,64300
166,B-GPT_en_es_sequential,sequential,114.93632745885272,0.14854801493983405,64400
167,B-GPT_en_es_sequential,sequential,115.20943351212448,0.14890408541346087,64500
168,B-GPT_en_es_sequential,sequential,115.45396650052204,0.14922290286899875,64600
169,B-GPT_en_es_sequential,sequential,115.67401178104738,0.1495097937171413,64700
170,B-GPT_en_es_sequential,sequential,115.88281397494649,0.149782026042955,64800
171,B-GPT_en_es_sequential,sequential,116.07792651627574,0.1500364100603334,64900
172,B-GPT_en_es_sequential,sequential,116.26114790006034,0.15027529061285572,65000
173,B-GPT_en_es_sequential,sequential,117.70152425670636,0.1521532258887958,66000
174,B-GPT_en_es_sequential,sequential,118.7467538680436,0.15351597635990039,67000
175,B-GPT_en_es_sequential,sequential,119.54458189267444,0.1545561693515964,68000
176,B-GPT_en_es_sequential,sequential,120.15745987217046,0.15535522799500712,69000
177,B-GPT_en_es_sequential,sequential,120.62869236219319,0.15596961194549308,70000
178,B-GPT_en_es_sequential,sequential,122.94627244329399,0.15899122873962712,80000
179,B-GPT_en_es_sequential,sequential,124.40668625095178,0.16089528846277937,90000
180,B-GPT_en_es_sequential,sequential,125.32912298697538,0.16209794392043725,100000
